vendor,title,affected_services,created_at,resolved_at,duration_hours,status,impact_summary,incident_type,incident_url
Twilio,SMS Delivery Failures from a Subset of Twilio Long Codes to Bouygues Telecom France,"SMS, Europe",2026-09-12 15:08:42,2026-09-15 12:28:18,69.33,resolved,The incident has been resolved and SMS delivery from a subset of Twilio Long Codes to Bouygues Telecom network subscribers in France is operating normally.,Outage,https://stspg.io/tly61kb56v02
Twilio,SMS Delivery Delays from Twilio to Orange Belgium,"SMS, Europe",2026-09-15 04:44:03,2026-09-15 08:58:45,4.25,resolved,The incident has been resolved and SMS delivery from Twilio to Orange network subscribers in Belgium is operating normally.,Outage,https://stspg.io/9ml8607z9fl3
Twilio,SMS Delivery Receipt Delays from a Subset of Twilio Short Codes to T-Mobile United States,"SMS Short Code, North America",2026-09-14 14:25:51,2026-09-15 02:09:47,11.73,resolved,The incident has been resolved and SMS delivery receipts from a subset of Twilio Short Codes to T-Mobile network subscribers in the United States is operating normally.,Outage,https://stspg.io/cmv128c688rq
Twilio,SMS Delivery Receipt Delays from Twilio to MTN Swaziland,"SMS, Middle East & Africa",2026-09-14 17:31:42,2026-09-14 21:44:01,4.21,resolved,The incident has been resolved and SMS delivery receipts from Twilio to MTN network subscribers in Swaziland are operating normally.,Outage,https://stspg.io/6v7th3ypw4g2
Twilio,SMS Delivery Delays from Twilio to XL Axiata Indonesia and Smart Axiata Cambodia,"SMS, APAC",2026-09-14 08:51:18,2026-09-14 15:56:45,7.09,resolved,The incident has been resolved and SMS delivery from Twilio to XL Axiata network subscribers in Indonesia and Smart Axiata network subscribers in Cambodia is operating normally.,Outage,https://stspg.io/jx1gmhwy774f
Twilio,SMS Delivery Delays from a Subset of Twilio Short Codes to Vivo Brazil,"SMS, Latin America",2026-09-14 01:34:09,2026-09-14 08:38:09,7.07,resolved,The incident has been resolved and SMS delivery from a subset of Twilio Short Codes to Vivo network subscribers in Brazil is operating normally.,Outage,https://stspg.io/trcxb5gjw8zr
Twilio,SMS Delivery Delays from Twilio Short Codes and Long Codes to Liberty Puerto Rico,"SMS, Latin America",2026-09-11 13:37:18,2026-09-11 23:18:56,9.69,resolved,The incident has been resolved and SMS delivery from Twilio Short Codes and Long Codes to Liberty network subscribers in Puerto Rico is operating normally.,Outage,https://stspg.io/2nj5bc42dxqh
Twilio,SMS Delivery Delays from Twilio to Multiple Networks in Multiple Countries Across Europe and the Middle East,"SMS, Europe, SMS, Middle East & Africa",2026-09-11 05:53:19,2026-09-11 12:03:35,6.17,resolved,The incident has been resolved and SMS delivery from Twilio to affected networks in multiple countries across Europe and the Middle East is operating normally.,Outage,https://stspg.io/g3sc3zvs75t1
Twilio,SMS Delivery Failures from a Subset of Twilio Long Codes to Iliad Italy,"SMS, Europe",2026-09-10 05:32:08,2026-09-11 10:18:53,28.78,resolved,The incident has been resolved and SMS delivery from a subset of Twilio Long Codes to Iliad network subscribers in Italy is operating normally.,Outage,https://stspg.io/sd6b10564qr7
Twilio,SMS Delivery Delays from Twilio to Multiple Networks in Ireland,"SMS, Europe",2026-09-11 03:13:41,2026-09-11 07:55:31,4.7,resolved,The incident has been resolved and SMS delivery from Twilio to affected networks in Ireland is operating normally.,Outage,https://stspg.io/hm6b3sh2g9m8
