Vendor,Total Tickets,Open Tickets,Closed Tickets,Avg Age (days),Oldest Ticket (days),Generated
atomic,76,1,51,167.8,1712,2026-08-28 14:06:51
biocatch,20,1,14,80.7,213,2026-08-28 14:06:51
codat,2,0,2,65.5,71,2026-08-28 14:06:51
complyadvantage,13,0,10,79.8,232,2026-08-28 14:06:51
docusign,34,0,23,68.6,163,2026-08-28 14:06:51
entrust,453,9,385,79.3,540,2026-08-28 14:06:51
entrust_identity,3,0,3,50.7,87,2026-08-28 14:06:51
feedzai,116,4,84,65.1,318,2026-08-28 14:06:51
jack_henry,141,4,101,119.0,1429,2026-08-28 14:06:51
jumio,299,21,221,100.1,1869,2026-08-28 14:06:51
middesk,2,0,2,313.5,543,2026-08-28 14:06:51
payveris,6,0,6,72.8,119,2026-08-28 14:06:51
saleedge,6,0,6,87.5,150,2026-08-28 14:06:51
savvy_money,71,0,55,78.5,395,2026-08-28 14:06:51
smarty,856,11,748,68.8,568,2026-08-28 14:06:51
twilio,102,2,72,100.8,1554,2026-08-28 14:06:51
yodlee,48,3,34,97.4,218,2026-08-28 14:06:51
